N,Order,Mode,Repetition_ID,Run_Type,Perf_Cache_Miss_Rate,Perf_IPC,Perf_L1-dcache-load-misses,Perf_branch-misses,Perf_branches,Perf_cache-misses,Perf_cache-references,Perf_cycles,Perf_dTLB-load-misses,Perf_instructions,Perf_task-clock,Gprof_Runtime_Mean_s,Gprof_Runtime_s
2000,ijk,cpu,3,Individual,0.46343792737211026,3.398920622537998,8601422693.0,4194685.0,4194685.0,7528045641.0,16243913578.0,89616208236.0,2825.0,304598378287.0,20202876196.0,,19.953096866607666
2000,ijk,cpu,4,Individual,0.464957278925716,3.4041776970290543,8601781724.0,4188981.0,4188981.0,7578623569.0,16299612701.0,89477001707.0,1172.0,304595613608.0,20183544814.0,,19.930410623550415
2000,ijk,cpu,5,Individual,0.46372255041600846,3.4049346162665106,8625673609.0,4191668.0,4191668.0,7562354714.0,16307929617.0,89482477411.0,2789.0,304681984886.0,20103872640.0,,19.904945850372314
2000,ijk,cpu,AVG,Mean,0.4639385104652466,3.4028748734215126,8608072026.2,4193744.4,4193744.4,7550241441.8,16274193779.6,89514631450.8,6887.0,304606984770.6,20202202116.2,19.954151153564453,
2000,ijk,io,1,Individual,0.0240296647745769,4.326839138888618,218717.0,7994.0,7994.0,6422.0,267253.0,21722068.0,76.0,93987894.0,12576846.0,,0.013272285461425781
2000,ijk,io,2,Individual,0.030638734605167833,3.6997809183633352,182797.0,6904.0,6904.0,8120.0,265024.0,28029734.0,128.0,103703875.0,11719328.0,,0.013097047805786133
2000,ijk,io,3,Individual,0.020771190183752127,4.011568425603744,256806.0,8583.0,8583.0,6866.0,330554.0,18292809.0,256.0,73382855.0,13073899.0,,0.014030218124389648
2000,ijk,io,4,Individual,0.021737939921075946,5.081474314418819,282749.0,8214.0,8214.0,6748.0,310425.0,14477753.0,87.0,73568330.0,13046115.0,,0.012602806091308594
2000,ijk,io,5,Individual,0.02007064619579531,4.516718042380572,242086.0,8360.0,8360.0,7773.0,387282.0,15313007.0,235.0,69164535.0,13031388.0,,0.013402938842773438
2000,ijk,io,AVG,Mean,0.023449635136073625,4.327276167931018,236631.0,8011.0,8011.0,7185.8,312107.6,19567074.2,156.4,82761497.8,12689515.2,0.01328105926513672,
2000,ikj,cpu,1,Individual,0.0819729878881048,4.02145756746273,558171979.0,4179726.0,4179726.0,110237547.0,1344803329.0,75748030704.0,2074.0,304617491295.0,17172279002.0,,16.940638542175293
2000,ikj,cpu,2,Individual,0.08158155047255908,4.0196602977608515,558633896.0,4179030.0,4179030.0,109683101.0,1344459628.0,75781845785.0,4334.0,304617276793.0,17153184067.0,,16.951438426971436
2000,ikj,cpu,3,Individual,0.08237162108560231,4.020691818109473,559903091.0,4184557.0,4184557.0,110892621.0,1346247889.0,75816888864.0,1715.0,304836344730.0,17173924234.0,,16.95065665245056
2000,ikj,cpu,4,Individual,0.09605301798297514,4.016887567445484,561836923.0,4183818.0,4183818.0,126546792.0,1317468151.0,75862180929.0,2450.0,304729851413.0,17110871826.0,,16.930688619613647
2000,ikj,cpu,5,Individual,0.08144438649113857,4.019468764814629,559483637.0,4186752.0,4186752.0,109604259.0,1345755843.0,75813863594.0,2052.0,304731456656.0,17162318548.0,,16.970123291015625
2000,ikj,cpu,AVG,Mean,0.08468471278407598,4.019633203118634,559605905.2,4182776.6,4182776.6,113392864.0,1339746968.0,75804561975.2,2525.0,304706484177.4,17154515535.4,16.948709106445314,
2000,ikj,io,1,Individual,0.023167932191417977,5.028912237794119,268750.0,8345.0,8345.0,5904.0,254835.0,16780230.0,287.0,84386304.0,12303593.0,,0.01256251335144043
2000,ikj,io,2,Individual,0.024026756893400225,4.463468915551376,227918.0,7647.0,7647.0,6178.0,257130.0,20450789.0,92.0,91281461.0,12754669.0,,0.013244867324829102
2000,ikj,io,3,Individual,0.030322225179066045,3.7932930348118283,174257.0,6583.0,6583.0,8090.0,266801.0,28130726.0,56.0,106708087.0,12059836.0,,0.012593984603881836
2000,ikj,io,4,Individual,0.024303532573154346,4.382614918310283,225706.0,7630.0,7630.0,6132.0,252309.0,21903124.0,90.0,95992958.0,12162829.0,,0.014259815216064453
2000,ikj,io,5,Individual,0.01855008145468785,3.0077589851328197,310672.0,8663.0,8663.0,7390.0,398381.0,19268886.0,79.0,57956165.0,14460098.0,,0.01516580581665039
2000,ikj,io,AVG,Mean,0.02407410565834529,4.135209618320085,241460.6,7773.6,7773.6,6738.8,285891.2,21306751.0,120.8,87264995.0,12748205.0,0.013565397262573243,
2000,jik,cpu,1,Individual,0.4303617603421379,3.8261536573585513,8616809519.0,4185750.0,4185750.0,7003371350.0,16273219406.0,79606302616.0,11901.0,304585945903.0,18121563097.0,,17.896222829818726
2000,jik,cpu,2,Individual,0.4302397718075646,3.8338667763664174,8598725234.0,4192255.0,4192255.0,6974697091.0,16211186292.0,79445652497.0,83910.0,304584047635.0,18002243642.0,,17.813700437545776
2000,jik,cpu,3,Individual,0.43581643694024974,3.831504557549184,8614195929.0,4185926.0,4185926.0,7149317307.0,16404423287.0,79557216688.0,76281.0,304823838326.0,18107518317.0,,17.80030107498169
2000,jik,cpu,4,Individual,0.42896046032231416,3.836599521261228,8623878267.0,4187253.0,4187253.0,6956615711.0,16217382147.0,79405071057.0,69132.0,304645457603.0,18050787645.0,,17.81623911857605
2000,jik,cpu,5,Individual,0.4339562282131974,3.8255732822647106,8621412610.0,4197714.0,4197714.0,7101999672.0,16365705134.0,79639445759.0,124495.0,304666535910.0,17956153086.0,,17.891523599624634
2000,jik,cpu,AVG,Mean,0.43186693152509276,3.830739558960018,8615004311.8,4189779.6,4189779.6,7037200226.2,16294383253.2,79530737723.4,73143.8,304661165075.4,18047653157.4,17.843597412109375,
2000,jik,io,1,Individual,0.016742035093881256,5.609260369749129,326753.0,8964.0,8964.0,5720.0,341655.0,11591481.0,279.0,65019635.0,13103963.0,,0.013699769973754883
2000,jik,io,2,Individual,0.024263886392234407,4.349658147655487,251618.0,8246.0,8246.0,6749.0,278150.0,19137941.0,106.0,83243501.0,13060332.0,,0.012476205825805664
2000,jik,io,3,Individual,0.024272381865801027,3.7847902227340486,224621.0,8077.0,8077.0,8554.0,352417.0,21205110.0,95.0,80256893.0,13187761.0,,0.012914896011352539
2000,jik,io,4,Individual,0.02182091184318974,4.434805470289484,231996.0,7795.0,7795.0,5348.0,245086.0,21600685.0,212.0,95794836.0,11989483.0,,0.012109518051147461
2000,jik,io,5,Individual,0.02625714486781506,4.364252240653595,217596.0,7470.0,7470.0,6716.0,255778.0,22021811.0,93.0,96108738.0,12412296.0,,0.013107061386108398
2000,jik,io,AVG,Mean,0.022671272012584297,4.508553290216349,250516.8,8110.4,8110.4,6617.4,294617.2,19111405.6,157.0,84084720.6,12750767.0,0.012861490249633789,
