N,Layout,Algorithm,Type,Repetition_ID,Run_Type,Perf_IPC,Perf_L1-dcache-load-misses,Perf_branch-misses,Perf_branches,Perf_cycles,Perf_dTLB-load-misses,Perf_instructions,Perf_task-clock,Gprof_Runtime_Mean_s,Gprof_Runtime_s
64000,array,insertion,int,5,Individual,3.773782575740135,58625623.0,76907.0,76907.0,5988612590.0,1611.0,22599721845.0,1372390462.0,,1.3521604537963867
64000,array,insertion,int,AVG,Mean,3.7569962286795997,58864344.4,77445.6,77445.6,6012371397.6,1542.0,22587695944.8,1374731636.8,1.3561724185943604,
64000,array,insertion,double,1,Individual,4.2367891396475805,124595436.0,154633.0,154633.0,5346771169.0,1660.0,22653142021.0,1266294257.0,,1.2352283000946045
64000,array,insertion,double,2,Individual,4.206336012000062,124946480.0,154223.0,154223.0,5377540194.0,1574.0,22619740974.0,1274973173.0,,1.2417066097259521
64000,array,insertion,double,3,Individual,4.2329121159191025,124974176.0,153552.0,153552.0,5346780682.0,1363.0,22632452730.0,1265498103.0,,1.2187130451202393
64000,array,insertion,double,4,Individual,4.254546773205316,124464243.0,153427.0,153427.0,5318416085.0,1299.0,22627449993.0,1262711378.0,,1.23854660987854
64000,array,insertion,double,5,Individual,4.246592815022179,124658222.0,153346.0,153346.0,5329362617.0,1150.0,22631632998.0,1267334235.0,,1.2286193370819092
64000,array,insertion,double,AVG,Mean,4.235435371158848,124727711.4,153836.2,153836.2,5343774149.4,1409.2,22632883743.2,1267362229.2,1.232562780380249,
64000,array,bubble,int,1,Individual,2.2630725004171013,125459491.0,429698184.0,429698184.0,26715466082.0,5132.0,60459036626.0,6065645246.0,,6.063313722610474
64000,array,bubble,int,2,Individual,2.254379543467584,126834346.0,429625378.0,429625378.0,26821899159.0,4373.0,60466740781.0,6083821512.0,,6.0641889572143555
64000,array,bubble,int,3,Individual,2.2628537499399153,125402793.0,429596001.0,429596001.0,26723329698.0,5205.0,60470986818.0,6082943829.0,,6.088076591491699
64000,array,bubble,int,4,Individual,2.2613497200054207,125250485.0,429496750.0,429496750.0,26739581228.0,1514.0,60467544523.0,6061493470.0,,6.006229639053345
64000,array,bubble,int,5,Individual,2.257578660377728,126635739.0,429745219.0,429745219.0,26786621465.0,3664.0,60472905003.0,6050169095.0,,5.981503486633301
64000,array,bubble,int,AVG,Mean,2.2598468348415497,125916570.8,429632306.4,429632306.4,26757379526.4,3977.6,60467442750.2,6068814630.4,6.040662479400635,
64000,array,bubble,double,1,Individual,1.7089380068401654,254803767.0,454591563.0,454591563.0,35400990865.0,2158.0,60498098769.0,7953180089.0,,7.892074108123779
64000,array,bubble,double,2,Individual,1.7103023391485332,254665206.0,454582816.0,454582816.0,35372071172.0,3001.0,60496936066.0,7952360754.0,,7.883317232131958
64000,array,bubble,double,3,Individual,1.7082248056665712,256291642.0,454635913.0,454635913.0,35412888925.0,1844.0,60493175302.0,7937027181.0,,7.862653732299805
64000,array,bubble,double,4,Individual,1.7098333938914108,254972473.0,454626249.0,454626249.0,35399051451.0,2026.0,60526480283.0,7944396013.0,,7.884835958480835
64000,array,bubble,double,5,Individual,1.7093172567418469,254743172.0,454668727.0,454668727.0,35397839014.0,2772.0,60506137078.0,7924697133.0,,7.857456922531128
64000,array,bubble,double,AVG,Mean,1.7093231604577057,255095252.0,454621053.6,454621053.6,35396568285.4,2360.2,60504165499.6,7942332234.0,7.876067590713501,
